6469_7.txt: { positive score: 11, negative score: 14.0 }, classification: negative, correct: pos
10965_8.txt: { positive score: 8, negative score: 5.25 }, classification: positive, correct: pos
7276_10.txt: { positive score: 6, negative score: 1.75 }, classification: positive, correct: pos
1504_9.txt: { positive score: 24, negative score: 5.25 }, classification: positive, correct: pos
216_10.txt: { positive score: 9, negative score: 15.75 }, classification: negative, correct: pos
10206_8.txt: { positive score: 19, negative score: 17.5 }, classification: positive, correct: pos
8092_7.txt: { positive score: 13, negative score: 14.0 }, classification: negative, correct: pos
2173_8.txt: { positive score: 2, negative score: 1.75 }, classification: positive, correct: pos
10934_8.txt: { positive score: 7, negative score: 1.75 }, classification: positive, correct: pos
8346_8.txt: { positive score: 6, negative score: 3.5 }, classification: positive, correct: pos
6954_10.txt: { positive score: 10, negative score: 10.5 }, classification: negative, correct: pos
3903_8.txt: { positive score: 3, negative score: 1.75 }, classification: positive, correct: pos
10894_10.txt: { positive score: 38, negative score: 31.5 }, classification: positive, correct: pos
4459_9.txt: { positive score: 29, negative score: 22.75 }, classification: positive, correct: pos
9164_9.txt: { positive score: 6, negative score: 1.75 }, classification: positive, correct: pos
11286_8.txt: { positive score: 11, negative score: 12.25 }, classification: negative, correct: pos
9936_10.txt: { positive score: 5, negative score: 0 }, classification: positive, correct: pos
386_10.txt: { positive score: 12, negative score: 21.0 }, classification: negative, correct: pos
7375_8.txt: { positive score: 24, negative score: 24.5 }, classification: negative, correct: pos
2330_10.txt: { positive score: 8, negative score: 8.75 }, classification: negative, correct: pos
10604_8.txt: { positive score: 14, negative score: 12.25 }, classification: positive, correct: pos
8767_10.txt: { positive score: 16, negative score: 17.5 }, classification: negative, correct: pos
11205_9.txt: { positive score: 33, negative score: 47.25 }, classification: negative, correct: pos
6577_10.txt: { positive score: 4, negative score: 0 }, classification: positive, correct: pos
5282_10.txt: { positive score: 29, negative score: 26.25 }, classification: positive, correct: pos
3310_8.txt: { positive score: 15, negative score: 7.0 }, classification: positive, correct: pos
1590_10.txt: { positive score: 4, negative score: 0 }, classification: positive, correct: pos
6633_8.txt: { positive score: 8, negative score: 5.25 }, classification: positive, correct: pos
10411_10.txt: { positive score: 19, negative score: 19.25 }, classification: negative, correct: pos
10905_8.txt: { positive score: 10, negative score: 1.75 }, classification: positive, correct: pos
8417_9.txt: { positive score: 9, negative score: 10.5 }, classification: negative, correct: pos
11092_9.txt: { positive score: 15, negative score: 29.75 }, classification: negative, correct: pos
8698_7.txt: { positive score: 26, negative score: 17.5 }, classification: positive, correct: pos
1698_10.txt: { positive score: 14, negative score: 7.0 }, classification: positive, correct: pos
4160_9.txt: { positive score: 17, negative score: 0 }, classification: positive, correct: pos
8749_9.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
4894_8.txt: { positive score: 28, negative score: 28.0 }, classification: negative, correct: pos
1271_9.txt: { positive score: 4, negative score: 3.5 }, classification: positive, correct: pos
1822_8.txt: { positive score: 16, negative score: 14.0 }, classification: positive, correct: pos
9272_8.txt: { positive score: 8, negative score: 5.25 }, classification: positive, correct: pos
1313_9.txt: { positive score: 7, negative score: 5.25 }, classification: positive, correct: pos
8327_9.txt: { positive score: 13, negative score: 7.0 }, classification: positive, correct: pos
8946_9.txt: { positive score: 11, negative score: 12.25 }, classification: negative, correct: pos
5341_7.txt: { positive score: 17, negative score: 12.25 }, classification: positive, correct: pos
11212_10.txt: { positive score: 13, negative score: 17.5 }, classification: negative, correct: pos
11370_10.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
